objectid,vilnam_soi,stcode11,dtcode11,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,relocated,t_pop2011,STVIL,LOC_STAT_1,NAME
"469407",Hatimuria Gharfalia Gaon,"18","311","02072","292772",ASSAM,Sivasagar,Amguri,Hatimuria Gharphalia,"292772",,"2102","18292772",Census Village,Hatimuria Gharphalia
"469421",Namdongia Gaon,"18","311","02073","292834",ASSAM,Sivasagar,Nazira,Namdongia,"292834",,"1576","18292834",Census Village,Namdongia
"469426",Naharani N.C. No.2,"18","756","02047","287165",ASSAM,Sonitpur,Gohpur,No.2 Naharani,"287165",,"684","18287165",Census Village,No.2 Naharani
"469448",Da-Gaon,"18","307","02048","287515",ASSAM,Lakhimpur,Narayanpur,Da-Gaon,"287515",,"858","18287515",Census Village,Da-Gaon
"469458",Daflagarh T.E.,"18","756","02046","287017",ASSAM,Sonitpur,Helem,Dufflagarh T.E.Grant285/493(1),"287017",,"425","18287017",Census Village,Dufflagarh T.E.Grant285/493(1)
"469503",Bahupathar No.2,"18","307","02048","287539",ASSAM,Lakhimpur,Narayanpur,No.2 Bahupathar,"287539",,"831","18287539",Census Village,No.2 Bahupathar
"469540",Dewnabari,"18","756","02047","287157",ASSAM,Sonitpur,Gohpur,Deona Bori,"287157",,"520","18287157",Census Village,Deona Bori
"469562",Asalabari Gaon,"18","311","02073","292851",ASSAM,Sivasagar,Nazira,Asalabari Gaon,"292851",,"768","18292851",Census Village,Asalabari Gaon
"469587",Pichala No.3,"18","307","02048","287541",ASSAM,Lakhimpur,Narayanpur,Pichala No.3,"287541",,"732","18287541",Census Village,Pichala No.3
"469604",Methonchua Gaon,"18","311","02073","292858",ASSAM,Sivasagar,Nazira,Methonchowa Gaon,"292858",,"1793","18292858",Census Village,Methonchowa Gaon
"469642",Mohkhuti Pathar,"18","312","02077","294109",ASSAM,Jorhat,Jorhat West,Mautjoli Gaon,"294109",,"614","18294109",Census Village,Mautjoli Gaon
"469644",Mout Gaon,"18","311","02072","292803",ASSAM,Sivasagar,Amguri,Mout,"292803",,"487","18292803",Census Village,Mout
"469649",Naharani N.C. No.1,"18","756","02047","287164",ASSAM,Sonitpur,Gohpur,No.1 Naharani,"287164",,"732","18287164",Census Village,No.1 Naharani
"469670",Harkina Gaon,"18","311","02073","292850",ASSAM,Sivasagar,Nazira,Harkina Grant,"292850",,"176","18292850",Census Village,Harkina Grant
"469681",Balijan N.C.,"18","756","02046","287025",ASSAM,Sonitpur,Helem,Balijan N.C.,"287025",,"340","18287025",Census Village,Balijan N.C.
"469705",Naharani Gaon,"18","756","02047","287181",ASSAM,Sonitpur,Gohpur,Naharani,"287181",,"974","18287181",Census Village,Naharani
"469707",Dubia Jarani,"18","756","02047","287194",ASSAM,Sonitpur,Gohpur,Dubia Jarani,"287194",,"385","18287194",Census Village,Dubia Jarani
"469720",Kachari Gaon,"18","311","02072","292798",ASSAM,Sivasagar,Amguri,Kachari,"292798",,"846","18292798",Census Village,Kachari
"469727",Kholihamari No.2,"18","307","02048","287508",ASSAM,Lakhimpur,Narayanpur,No.2 Khalihamari,"287508",,"537","18287508",Census Village,No.2 Khalihamari
"469728",Tingali Bari,"18","756","02047","287163",ASSAM,Sonitpur,Gohpur,Tingali Bori,"287163",,"656","18287163",Census Village,Tingali Bori
"469730",Lefera Chawdang Gaon,"18","311","02072","292754",ASSAM,Sivasagar,Amguri,Lephera Chawdang,"292754",,"803","18292754",Census Village,Lephera Chawdang
"469762",Dakua,"18","307","02048","287516",ASSAM,Lakhimpur,Narayanpur,Dakuwa,"287516",,"2081","18287516",Census Village,Dakuwa
"469764",Mazor Doloni,"18","307","02048","287510",ASSAM,Lakhimpur,Narayanpur,Major Doloni,"287510",,"243","18287510",Census Village,Major Doloni
"469773",Changmai Garh,"18","312","02078","293768",ASSAM,Jorhat,Jorhat East,Changmaigarh Gaon,"293768",,"53","18293768",Census Village,Changmaigarh Gaon
"469778",Sutardoloni Gaon,"18","756","02047","287195",ASSAM,Sonitpur,Gohpur,Sutar Doloni,"287195",,"153","18287195",Census Village,Sutar Doloni
"469790",Phulanibari,"18","311","02073","292863",ASSAM,Sivasagar,Nazira,Phuloni Bari,"292863",,"580","18292863",Census Village,Phuloni Bari
"469794",Dubia Pathar,"18","756","02047","287200",ASSAM,Sonitpur,Gohpur,Dubia Pathar,"287200",,"717","18287200",Census Village,Dubia Pathar
"469807",Dubia Borigaon,"18","756","02047","287193",ASSAM,Sonitpur,Gohpur,Dubia Bori,"287193",,"588","18287193",Census Village,Dubia Bori
"469812",Gohain Gaon,"18","312","02078","293814",ASSAM,Jorhat,Jorhat East,Gohain Gaon,"293814",,"1139","18293814",Census Village,Gohain Gaon
"469881",Rtanpuria,"18","311","02072","292753",ASSAM,Sivasagar,Amguri,Ratanpuria,"292753",,"1526","18292753",Census Village,Ratanpuria
"469889",Madurani N.C.,"18","756","02047","287182",ASSAM,Sonitpur,Gohpur,Madurani,"287182",,"173","18287182",Census Village,Madurani
"469899",Mazor Chapori,"18","307","02048","287467",ASSAM,Lakhimpur,Narayanpur,Mazor Chapori,"287467",,"744","18287467",Census Village,Mazor Chapori
"469919",Chamaguri,"18","311","02072","292761",ASSAM,Sivasagar,Amguri,Chamaguri,"292761",,"1571","18292761",Census Village,Chamaguri
"469928",Michamora Kumar Gaon,"18","311","02073","292833",ASSAM,Sivasagar,Nazira,Missamora,"292833",,"337","18292833",Census Village,Missamora
"469957",Domar Doloni,"18","307","02048","287507",ASSAM,Lakhimpur,Narayanpur,Doomor Doloni,"287507",,"3","18287507",Census Village,Doomor Doloni
"469987",Dhalpur Gaon,"18","307","02048","287504",ASSAM,Lakhimpur,Narayanpur,Dhalpur,"287504",,"1988","18287504",Census Village,Dhalpur
"470032",Moran Kari Handique,"18","311","02073","292933",ASSAM,Sivasagar,Nazira,Moiramora Handique,"292933",,"1335","18292933",Census Village,Moiramora Handique
"470049",Mora Pukhuri,"18","311","02072","292756",ASSAM,Sivasagar,Amguri,Mora Pukhuri,"292756",,"1584","18292756",Census Village,Mora Pukhuri
"470094",Harmutty Gaon No.2,"18","307","02048","287608",ASSAM,Lakhimpur,Narayanpur,Harmoti Patta No.5,"287608",,"3905","18287608",Census Village,Harmoti Patta No.5
"470106",Balamia Chawdang Gaon,"18","311","02072","292752",ASSAM,Sivasagar,Amguri,Balamia Chawdang,"292752",,"1185","18292752",Census Village,Balamia Chawdang
"470112",Baraghoria Bhakat,"18","312","02078","293809",ASSAM,Jorhat,Jorhat East,Bereghoria Bhakat Gaon,"293809",,"1193","18293809",Census Village,Bereghoria Bhakat Gaon
"470117",Kholihamari No.1,"18","307","02048","287509",ASSAM,Lakhimpur,Narayanpur,No.1 Khalihamari,"287509",,"390","18287509",Census Village,No.1 Khalihamari
"470130",Methonchua Grant,"18","311","02073","292862",ASSAM,Sivasagar,Nazira,Methonchowa Grant,"292862",,"393","18292862",Census Village,Methonchowa Grant
"470150",Sonapur N.C.,"18","756","02047","287162",ASSAM,Sonitpur,Gohpur,Sonapur,"287162",,"304","18287162",Census Village,Sonapur
"470153",Koroti Pathar,"18","760","02076","293366",ASSAM,Jorhat,Majuli,Karati Pathar,"293366",,"0","18293366",Census Village,Karati Pathar
"470169",Deoghoria Duora Gaon,"18","311","02073","292832",ASSAM,Sivasagar,Nazira,Deogharia Duwarah,"292832",,"2141","18292832",Census Village,Deogharia Duwarah
"470192",Auniati Lakharaj,"18","760","02076","293396",ASSAM,Jorhat,Majuli,Auniati Lakharaj,"293396",,"191","18293396",Census Village,Auniati Lakharaj
"470199",Nidanchua,"18","307","02048","287506",ASSAM,Lakhimpur,Narayanpur,Nidanchuwa,"287506",,"596","18287506",Census Village,Nidanchuwa
"470208",Bahupathar No.1,"18","307","02048","287538",ASSAM,Lakhimpur,Narayanpur,No.1 Bahupathar,"287538",,"393","18287538",Census Village,No.1 Bahupathar
"470212",Charingia Barnun Gaon,"18","312","02078","293811",ASSAM,Jorhat,Jorhat East,Charingia Bamun Gaon,"293811",,"1180","18293811",Census Village,Charingia Bamun Gaon
"470249",Phukanbari,"18","312","02078","293769",ASSAM,Jorhat,Jorhat East,Phukonbari Gaon,"293769",,"563","18293769",Census Village,Phukonbari Gaon
"470251",Boria Gaon,"18","312","02078","293772",ASSAM,Jorhat,Jorhat East,Boria Gaon,"293772",,"1512","18293772",Census Village,Boria Gaon
"470256",Abhoypuria,"18","311","02072","292769",ASSAM,Sivasagar,Amguri,Abhoipuria,"292769",,"688","18292769",Census Village,Abhoipuria
"470292",Tintia,"18","307","02048","287560",ASSAM,Lakhimpur,Narayanpur,Tintia,"287560",,"860","18287560",Census Village,Tintia
"470335",Hudupara,"18","311","02073","292831",ASSAM,Sivasagar,Nazira,Hudupora,"292831",,"2472","18292831",Census Village,Hudupora
"470346",Arapathar No.1,"18","307","02048","287487",ASSAM,Lakhimpur,Narayanpur,No.1 Era Pathar,"287487",,"481","18287487",Census Village,No.1 Era Pathar
"470430",Bamunpukhuri T.E.,"18","311","02073","292867",ASSAM,Sivasagar,Nazira,Bamun Pukhuri Chah Bagicha,"292867",,"3410","18292867",Census Village,Bamun Pukhuri Chah Bagicha
"470442",Chutia Gaon,"18","307","02048","287503",ASSAM,Lakhimpur,Narayanpur,Chutiagaon,"287503",,"694","18287503",Census Village,Chutiagaon
"470452",Bagaribari Grant,"18","756","02047","287159",ASSAM,Sonitpur,Gohpur,Bagani Bari,"287159",,"200","18287159",Census Village,Bagani Bari
"470468",Jalukata,"18","307","02048","287537",ASSAM,Lakhimpur,Narayanpur,Jaluk-Kata,"287537",,"1437","18287537",Census Village,Jaluk-Kata
"470475",Mautania,"18","311","02072","292759",ASSAM,Sivasagar,Amguri,Mantania,"292759",,"1186","18292759",Census Village,Mantania
"470504",Phuta Bhog,"18","307","02048","287486",ASSAM,Lakhimpur,Narayanpur,Futabhug,"287486",,"1331","18287486",Census Village,Futabhug
"470505",Ganakdoloni,"18","307","02048","287505",ASSAM,Lakhimpur,Narayanpur,Ganakdoloni,"287505",,"1592","18287505",Census Village,Ganakdoloni
"470514",Garamur Miri,"18","311","02073","292908",ASSAM,Sivasagar,Nazira,Garmur Miri,"292908",,"4175","18292908",Census Village,Garmur Miri
"470515",Jaradhara,"18","311","02072","292757",ASSAM,Sivasagar,Amguri,Jaradhara,"292757",,"1188","18292757",Census Village,Jaradhara
"470519",Napamua,"18","307","02048","287570",ASSAM,Lakhimpur,Narayanpur,Na-Pamua,"287570",,"1523","18287570",Census Village,Na-Pamua
"470521",Sonaribari,"18","307","02049","287575",ASSAM,Lakhimpur,Bihpuria,Sonaribari Grazing,"287575",,"0","18287575",Census Village,Sonaribari Grazing
"470536",Duliapathar,"18","307","02048","288258",ASSAM,Lakhimpur,Narayanpur,Duliapathar,"288258",,"506","18288258",Census Village,Duliapathar
"470552",Kaiborta Garh Chapari,"18","312","02078","293765",ASSAM,Jorhat,Jorhat East,Kaibartra Gaon Chapori,"293765",,"284","18293765",Census Village,Kaibartra Gaon Chapori
"470582",Baraghoria Pathar,"18","312","02078","293806",ASSAM,Jorhat,Jorhat East,Borgharia Pothar Gaon,"293806",,"1087","18293806",Census Village,Borgharia Pothar Gaon
"470612",Robi Gaon,"18","312","02078","293807",ASSAM,Jorhat,Jorhat East,Robi Gaon,"293807",,"1839","18293807",Census Village,Robi Gaon
"470636",Dikrongmukh,"18","307","02048","287573",ASSAM,Lakhimpur,Narayanpur,Dikrong Mukh,"287573",,"222","18287573",Census Village,Dikrong Mukh
"470657",Khatual Gaon,"18","311","02072","292750",ASSAM,Sivasagar,Amguri,Khatual,"292750",,"1697","18292750",Census Village,Khatual
"470679",Simoluguri Gaon,"18","312","02078","293812",ASSAM,Jorhat,Jorhat East,Simoluguri Gaon,"293812",,"1433","18293812",Census Village,Simoluguri Gaon
"470684",Chetia Katani Gaon,"18","311","02073","292830",ASSAM,Sivasagar,Nazira,Chetia Katoni,"292830",,"680","18292830",Census Village,Chetia Katoni
