blkcode11,block_name,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amount_paid,no_install_due,amount_due
202,Pub-nalbari,22802,13000,3656,6146,0,110471,"₹22,09,42,000 ",152748,"₹30,54,96,000 "
111,Pachim Abhoypur,2150,62,2087,1,0,12543,"₹2,50,86,000 ",17000,"₹3,40,00,000 "
206,Tamulpur,9174,4022,3196,1956,0,41453,"₹8,29,06,000 ",61776,"₹12,35,52,000 "
196,Tihu,6036,5291,376,369,0,40461,"₹8,09,22,000 ",43444,"₹8,68,88,000 "
145,Diyung Valley,3545,2207,1336,2,0,20592,"₹4,11,84,000 ",26654,"₹5,33,08,000 "
142,Diyungbra,2003,745,1257,1,0,9554,"₹1,91,08,000 ",15002,"₹3,00,04,000 "
143,Harangajao,1047,586,458,3,0,5798,"₹1,15,96,000 ",7885,"₹1,57,70,000 "
144,Jatinga Valley,1971,780,1191,0,0,9491,"₹1,89,82,000 ",14724,"₹2,94,48,000 "
141,New Sangbar,2034,170,1771,93,0,6138,"₹1,22,76,000 ",15636,"₹3,12,72,000 "
108,Amguri,856,800,55,1,0,6351,"₹1,27,02,000 ",6528,"₹1,30,56,000 "
105,Demow,14295,13063,1217,15,0,103796,"₹20,75,92,000 ",107638,"₹21,52,76,000 "
107,Gourisagar,8290,7716,557,17,0,60038,"₹12,00,76,000 ",61834,"₹12,36,68,000 "
110,Lakwa,1288,1222,65,1,0,9518,"₹1,90,36,000 ",9719,"₹1,94,38,000 "
109,Nazira,5532,5163,366,3,0,40365,"₹8,07,30,000 ",41395,"₹8,27,90,000 "
112,Sapekhati,9335,239,9093,3,0,53423,"₹10,68,46,000 ",72537,"₹14,50,74,000 "
106,Sibsagar,8866,8172,670,24,0,64570,"₹12,91,40,000 ",66637,"₹13,32,74,000 "
113,Sonari,10109,44,9951,114,0,55754,"₹11,15,08,000 ",77194,"₹15,43,88,000 "
73,Baghmara,2210,1756,454,0,0,15101,"₹3,02,02,000 ",16460,"₹3,29,20,000 "
66,Balipara,9864,8984,860,20,0,69728,"₹13,94,56,000 ",72459,"₹14,49,18,000 "
74,Behali,3660,3357,301,2,0,27298,"₹5,45,96,000 ",28217,"₹5,64,34,000 "
65,Barchala,3532,3277,242,13,0,25072,"₹5,01,44,000 ",25901,"₹5,18,02,000 "
75,Chaiduar,1884,1717,165,2,0,12918,"₹2,58,36,000 ",13430,"₹2,68,60,000 "
63,Dhekiajuli,9498,9075,409,14,0,69411,"₹13,88,22,000 ",70760,"₹14,15,20,000 "
64,Gabharu,10898,8117,2762,19,0,72138,"₹14,42,76,000 ",80606,"₹16,12,12,000 "
69,Naduar,7027,6714,312,1,0,53522,"₹10,70,44,000 ",54464,"₹10,89,28,000 "
76,Pub-chaiduar,3201,2916,280,5,0,22666,"₹4,53,32,000 ",23453,"₹4,69,06,000 "
67,Rangapara,503,489,14,0,0,3828,"₹76,56,000 ",3870,"₹77,40,000 "
71,Sakomatha,,,,,,,,,
95,Guijan,3251,2552,698,1,0,21958,"₹4,39,16,000 ",24048,"₹4,80,96,000 "
93,Hapjan,1837,1391,446,0,0,12444,"₹2,48,88,000 ",13777,"₹2,75,54,000 "
96,Itakhuli,2871,1302,1561,8,0,17202,"₹3,44,04,000 ",21908,"₹4,38,16,000 "
94,Kakapathar,2731,1858,872,1,0,17728,"₹3,54,56,000 ",20365,"₹4,07,30,000 "
97,Margherita,3029,1463,1563,3,0,17862,"₹3,57,24,000 ",22582,"₹4,51,64,000 "
91,Sadiya,,,,,,,,,
92,Saikhowa,2874,1758,1112,4,0,17995,"₹3,59,90,000 ",21312,"₹4,26,24,000 "
177,Manikpur (part),5797,3259,2525,13,0,37530,"₹7,50,60,000 ",44375,"₹8,87,50,000 "
196,Tihu (part),96,63,13,20,0,539,"₹10,78,000 ",681,"₹13,62,000 "
28,Gobardhana (part),5956,3784,2007,165,0,34528,"₹6,90,56,000 ",44012,"₹8,80,24,000 "
179,Borobazar (part),76,54,18,4,0,502,"₹10,04,000 ",560,"₹11,20,000 "
205,Goreswar,,,,,,,,,
220,Rowta,8731,8319,398,14,0,63398,"₹12,67,96,000 ",64661,"₹12,93,22,000 "
214,Kalaigaon (part),12019,10633,807,579,0,80806,"₹16,16,12,000 ",87885,"₹17,57,70,000 "
210,Khirabari,4941,3922,556,463,0,30744,"₹6,14,88,000 ",36063,"₹7,21,26,000 "
221,Barchala (part),597,589,8,0,0,4475,"₹89,50,000 ",4500,"₹90,00,000 "
3,Hatidhura,286,171,113,2,0,1640,"₹32,80,000 ",2141,"₹42,82,000 "
218,Udalguri,18676,16119,1968,589,0,125405,"₹25,08,10,000 ",137065,"₹27,41,30,000 "
217,Bhergaon,10942,10258,655,29,0,78789,"₹15,75,78,000 ",80995,"₹16,19,90,000 "
219,Mazbat,5106,3252,1521,333,0,29142,"₹5,82,84,000 ",37539,"₹7,50,78,000 "
193,Rani (part),1080,596,483,1,0,6418,"₹1,28,36,000 ",7880,"₹1,57,60,000 "
183,Bezera (part),,,,,,,,,
11,Chapar-salkocha (part),1384,541,829,14,0,6976,"₹1,39,52,000 ",10712,"₹2,14,24,000 "
5,Kokrajhar (part),1111,766,344,1,0,7593,"₹1,51,86,000 ",8547,"₹1,70,94,000 "
210,Khirabari (part),1224,200,486,538,0,2364,"₹47,28,000 ",8357,"₹1,67,14,000 "
39,Jalah,,,,,,,,,
28,Gobardhana (part),5956,3784,2007,165,0,34528,"₹6,90,56,000 ",44012,"₹8,80,24,000 "
38,Bajali (part),178,129,47,2,0,1124,"₹22,48,000 ",1312,"₹26,24,000 "
181,Rangia (part),1262,427,185,650,0,3832,"₹76,64,000 ",7748,"₹1,54,96,000 "
178,Sidli-chirang Pt. (part),,,,,,,,,
207,Tihu-barama (part),1326,1009,208,109,0,8103,"₹1,62,06,000 ",9290,"₹1,85,80,000 "
180,Bihdia-jajikona (part),,,,,,,,,
70,Chatia,2035,1963,72,0,0,15067,"₹3,01,34,000 ",15289,"₹3,05,78,000 "
12,Agamoni,9017,15,8140,862,0,16629,"₹3,32,58,000 ",67394,"₹13,47,88,000 "
