,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME,state_name,state_code,dist_name,dist_code,sub_name,sub_code,vill_name,vill_code,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amound_paid,no_install_due,amount_due
49,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442761.0,Ghatbar Saderi,18.0,303.0,2024.0,283283.0,ASSAM,Barpeta,Bajali (Pt),Ghotbar Saderi,283283.0,873.0,18283283.0,Census Village,Ghotbar Saderi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Ghotbar Saderi - (283283),283283,156.0,0.0,151.0,5.0,0.0,274.0,548000,1215.0,2430000
50,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442804.0,Dalaigaon,18.0,303.0,2024.0,283281.0,ASSAM,Barpeta,Bajali (Pt),Doloi Gaon,283281.0,1141.0,18283281.0,Census Village,Doloi Gaon,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Doloi Gaon - (283281),283281,45.0,1.0,42.0,2.0,0.0,82.0,164000,356.0,712000
51,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442823.0,Barberi,18.0,303.0,2025.0,282626.0,ASSAM,Barpeta,Sarupeta (Pt),Barbari Jhar,282626.0,1654.0,18282626.0,Census Village,Barbari Jhar,ASSAM,18,BARPETA,280,Barnagar (Pt),2018,Barbari Jhar - (282626),282626,641.0,3.0,159.0,479.0,0.0,339.0,678000,4185.0,8370000
52,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442882.0,Bilpar,18.0,303.0,2024.0,283330.0,ASSAM,Barpeta,Bajali (Pt),Bilpar,283330.0,854.0,18283330.0,Census Village,Bilpar,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bilpar - (283330),283330,111.0,0.0,95.0,16.0,0.0,182.0,364000,855.0,1710000
53,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442974.0,Nityananda Pam,18.0,303.0,2024.0,283274.0,ASSAM,Barpeta,Bajali (Pt),Nitananda Panbari,283274.0,1708.0,18283274.0,Census Village,Nitananda Panbari,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Nitananda Panbari - (283274),283274,408.0,8.0,393.0,7.0,0.0,807.0,1614000,3215.0,6430000
54,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,442980.0,Maripur Anandpur,18.0,303.0,2024.0,283331.0,ASSAM,Barpeta,Bajali (Pt),Maripur Anandapur,283331.0,3196.0,18283331.0,Census Village,Maripur Anandapur,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Maripur Anandapur - (283331),283331,663.0,0.0,655.0,8.0,0.0,1262.0,2524000,5219.0,10438000
55,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,443246.0,Niz Sathisamuka,18.0,303.0,2024.0,283339.0,ASSAM,Barpeta,Bajali (Pt),Niz-Sathi Samukha,283339.0,474.0,18283339.0,Census Village,Niz-Sathi Samukha,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Niz-Sathi Samukha - (283339),283339,70.0,0.0,65.0,5.0,0.0,123.0,246000,546.0,1092000
56,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,443321.0,Nimua,18.0,303.0,2024.0,283332.0,ASSAM,Barpeta,Bajali (Pt),Nimua,283332.0,1172.0,18283332.0,Census Village,Nimua,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Nimua - (283332),283332,166.0,0.0,144.0,22.0,0.0,272.0,544000,1274.0,2548000
57,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,443677.0,Baniagaon,18.0,303.0,2024.0,283329.0,ASSAM,Barpeta,Bajali (Pt),Bania Gaon,283329.0,603.0,18283329.0,Census Village,Bania Gaon,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bania Gaon - (283329),283329,577.0,0.0,289.0,288.0,0.0,538.0,1076000,4030.0,8060000
58,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,443770.0,Pakha Ketekibari,18.0,303.0,2024.0,283273.0,ASSAM,Barpeta,Bajali (Pt),Pakha Keteki Bari (Ketkibari),283273.0,384.0,18283273.0,Census Village,Pakha Keteki Bari (Ketkibari),ASSAM,18,BARPETA,280,Bajali (Pt),2024,Pakha Keteki Bari (Ketkibari) - (283273),283273,107.0,0.0,97.0,10.0,0.0,184.0,368000,835.0,1670000
59,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,443848.0,Tuplai Panbari,18.0,303.0,2024.0,283275.0,ASSAM,Barpeta,Bajali (Pt),Tuple Panbari,283275.0,1096.0,18283275.0,Census Village,Tuple Panbari,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Tuple Panbari - (283275),283275,134.0,2.0,103.0,29.0,0.0,210.0,420000,1005.0,2010000
