,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME
1603,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,332446.0,Dayapur Part I,18.0,316.0,2097.0,299446.0,ASSAM,Cachar,Silchar,Doyapore Pt I,299446.0,2136.0,18299446.0,Census Village,Doyapore Pt I
1609,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,334559.0,Khaspur Grant,18.0,316.0,2097.0,299429.0,ASSAM,Cachar,Silchar,Kaspur Grant,299429.0,1274.0,18299429.0,Census Village,Kaspur Grant
1611,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,334660.0,Khaspur Grant,18.0,316.0,2097.0,299429.0,ASSAM,Cachar,Silchar,Kaspur Grant,299429.0,1274.0,18299429.0,Census Village,Kaspur Grant
1624,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,336603.0,Langlacherra Pt. I,18.0,316.0,2097.0,299766.0,ASSAM,Cachar,Silchar,Langlachera Pt I,299766.0,605.0,18299766.0,Census Village,Langlachera Pt I
1627,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,336694.0,Langlacherra Pt. I,18.0,316.0,2097.0,299766.0,ASSAM,Cachar,Silchar,Langlachera Pt I,299766.0,605.0,18299766.0,Census Village,Langlachera Pt I
1638,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,338937.0,Ichacherra T.E.,18.0,316.0,2097.0,299413.0,ASSAM,Cachar,Silchar,Icha Chara (Jehachera Garden),299413.0,480.0,18299413.0,Census Village,Icha Chara (Jehachera Garden)
1643,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,339570.0,Ichacherra T.E.,18.0,316.0,2097.0,299413.0,ASSAM,Cachar,Silchar,Icha Chara (Jehachera Garden),299413.0,480.0,18299413.0,Census Village,Icha Chara (Jehachera Garden)
1656,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,341368.0,Khotilarpunjee,18.0,316.0,2097.0,299476.0,ASSAM,Cachar,Silchar,Katlir Punji,299476.0,0.0,18299476.0,Census Village,Katlir Punji
1658,Assam,Cachar,18,316,151,Udarbond,2522,2609,282,18,526064038.0,145485.3575,341917.0,Khotilarpunjee,18.0,316.0,2097.0,299476.0,ASSAM,Cachar,Silchar,Katlir Punji,299476.0,0.0,18299476.0,Census Village,Katlir Punji
1870,Assam,Cachar,18,316,157,Baskandi,2508,2614,282,18,123361800.3,76547.92325,325566.0,Badripar,18.0,316.0,2099.0,299856.0,ASSAM,Cachar,Sonai,Badripar,299856.0,533.0,18299856.0,Census Village,Badripar
1872,Assam,Cachar,18,316,157,Baskandi,2508,2614,282,18,123361800.3,76547.92325,327075.0,Chandrapur Pt. Ii,18.0,316.0,2099.0,299860.0,ASSAM,Cachar,Sonai,Chandrapur Pt II,299860.0,1813.0,18299860.0,Census Village,Chandrapur Pt II
1874,Assam,Cachar,18,316,157,Baskandi,2508,2614,282,18,123361800.3,76547.92325,327102.0,Chandrapur Pt. Ii,18.0,316.0,2099.0,299860.0,ASSAM,Cachar,Sonai,Chandrapur Pt II,299860.0,1813.0,18299860.0,Census Village,Chandrapur Pt II
1877,Assam,Cachar,18,316,157,Baskandi,2508,2614,282,18,123361800.3,76547.92325,327659.0,Badripar,18.0,316.0,2097.0,299856.0,ASSAM,Cachar,Silchar,Badripar,299856.0,533.0,18299856.0,Census Village,Badripar
1878,Assam,Cachar,18,316,157,Baskandi,2508,2614,282,18,123361800.3,76547.92325,327897.0,Alipore Ii,18.0,316.0,2099.0,299853.0,ASSAM,Cachar,Sonai,Alipur Pt II,299853.0,1341.0,18299853.0,Census Village,Alipur Pt II
1879,Assam,Cachar,18,316,157,Baskandi,2508,2614,282,18,123361800.3,76547.92325,327933.0,Alipore Ii,18.0,316.0,2099.0,299853.0,ASSAM,Cachar,Sonai,Alipur Pt II,299853.0,1341.0,18299853.0,Census Village,Alipur Pt II
1894,Assam,Cachar,18,316,154,Barjalenga,2509,2615,282,18,124964215.4,74196.97611,310938.0,Loharbond F.V.,18.0,316.0,2096.0,299370.0,ASSAM,Cachar,Katigora,Loharbond F.V.,299370.0,151.0,18299370.0,Census Village,Loharbond F.V.
1904,Assam,Cachar,18,316,154,Barjalenga,2509,2615,282,18,124964215.4,74196.97611,313112.0,Taranathpur I,18.0,316.0,2096.0,299347.0,ASSAM,Cachar,Katigora,Taranathpur Pt I,299347.0,1364.0,18299347.0,Census Village,Taranathpur Pt I
1905,Assam,Cachar,18,316,154,Barjalenga,2509,2615,282,18,124964215.4,74196.97611,313317.0,Taranathpur I,18.0,316.0,2096.0,299347.0,ASSAM,Cachar,Katigora,Taranathpur Pt I,299347.0,1364.0,18299347.0,Census Village,Taranathpur Pt I
1906,Assam,Cachar,18,316,154,Barjalenga,2509,2615,282,18,124964215.4,74196.97611,313464.0,Jogirbond Grant,18.0,316.0,2096.0,299353.0,ASSAM,Cachar,Katigora,Jogirbond Grant,299353.0,1021.0,18299353.0,Census Village,Jogirbond Grant
1907,Assam,Cachar,18,316,154,Barjalenga,2509,2615,282,18,124964215.4,74196.97611,313481.0,Jogirbond Grant,18.0,316.0,2096.0,299353.0,ASSAM,Cachar,Katigora,Jogirbond Grant,299353.0,1021.0,18299353.0,Census Village,Jogirbond Grant
